abandonment	0	2.54	1.29	0	28	1	49	Noun	NN	27203
abbreviation	0	3.07	1.51	0	29	1	12	Noun	NN	23826
abdomen	0	4.7	0.67	0	27	1	171	Noun	NN	33380
abduction	0	3.07	1.47	0	27	1	185	Noun	NN	24010
ability	0	1.81	0.88	0	27	1	980	Noun	NN	1224979
abnormality	0	2.48	1.33	0	25	1	26	Noun	NN	33926
abode	0	3.92	1.38	2	26	0.92	33	Noun	NN	16809
abolition	0	2.43	1.5	1	29	0.97	10	Noun	NN	38209
abomination	0	2.23	1.24	0	26	1	58	Noun	NN	16830
abortion	0	3.41	1.39	0	27	1	369	Noun	NN	198283
absence	0	2.31	1.35	0	26	1	322	Noun	NN	297260
absentee	0	3.29	1.38	0	28	1	18	Noun	NN	13106
absorption	0	3.22	1.48	0	27	1	18	Noun	NN	47545
abstinence	0	1.72	1.28	0	29	1	45	Noun	NN	16433
abstraction	0	1.57	1	0	28	1	15	Noun	NN	49502
absurdity	0	1.25	0.59	1	29	0.97	32	Noun	NN	26896
abundance	0	2.21	1.2	1	29	0.97	45	Noun	NN	93235
abuser	0	3.86	1.51	2	30	0.93	16	Noun	NN	24880
abyss	0	3.07	1.7	0	28	1	90	Noun	NN	18253
academia	0	2.12	1.26	3	27	0.89	12	Noun	NN	45596
academy	0	4.29	1.12	0	28	1	633	Noun	NN	88338
acceleration	0	2.97	1.3	0	29	1	44	Noun	NN	54699
accelerator	0	4.32	1.06	0	28	1	69	Noun	NN	25388
acceptance	0	2.21	1.26	0	28	1	161	Noun	NN	158637
accessibility	0	2.3	1.23	0	27	1	2	Noun	NN	86229
accident	0	3.26	1.48	0	27	1	4146	Noun	NN	451655
accolade	0	2.46	1.32	2	30	0.93	1	Noun	NN	25139
accommodation	0	2.96	1.19	0	27	1	48	Noun	NN	375793
accompaniment	0	2.26	1.02	1	28	0.96	15	Noun	NN	28373
accomplice	0	3.34	1.37	0	29	1	216	Noun	NN	15167
accomplishment	0	2.5	1.37	0	28	1	96	Noun	NN	84812
accordion	0	4.86	0.59	1	29	0.97	67	Noun	NN	12027
accountability	0	1.55	0.99	0	29	1	24	Noun	NN	114651
accountancy	0	1.68	1.02	2	30	0.93	3	Noun	NN	20566
accountant	0	4.41	0.91	0	29	1	315	Noun	NN	79047
accounting	0	3.27	1.66	0	26	1	230	Noun	NN	145640
accreditation	0	2.68	1.39	1	29	0.97	9	Noun	NN	47642
accumulation	0	2.97	1.43	0	30	1	13	Noun	NN	54388
accuracy	0	1.85	1.23	0	27	1	76	Noun	NN	179452
accusation	0	2.38	1.24	0	29	1	143	Noun	NN	98004
accuser	0	3.44	1.58	0	27	1	15	Noun	NN	11069
ace	0	3.92	1.47	1	27	0.96	751	Noun	NN	40499
achievement	0	2.37	1.5	0	30	1	178	Noun	NN	355966
acidity	0	3.4	1.35	1	26	0.96	10	Noun	NN	15125
acknowledgement	0	2.62	1.42	0	29	1	21	Noun	NN	36834
acne	0	4.89	0.32	0	27	1	46	Noun	NN	29558
acorn	0	4.96	0.19	0	27	1	37	Noun	NN	14654
acoustics	0	3.12	1.24	0	25	1	22	Noun	NN	11937
acquaintance	0	3.41	1.18	0	29	1	273	Noun	NN	53320
acquisition	0	2.6	1.41	0	25	1	74	Noun	NN	180249
acre	0	4.18	1.22	0	28	1	93	Noun	NN	250243
acronym	0	2.64	1.52	0	28	1	15	Noun	NN	25920
action	0	2.86	1.36	0	29	1	3115	Noun	NN	2291327
activation	0	2.41	1.31	0	27	1	43	Noun	NN	53676
activism	0	1.79	1.08	0	29	1	9	Noun	NN	46644
activity	0	2.72	1.4	0	25	1	657	Noun	NN	2063222
actor	0	4.57	0.9	0	30	1	1343	Noun	NN	398198
actress	0	4.54	0.84	0	28	1	817	Noun	NN	104773
actuality	0	1.96	1.34	0	27	1	24	Noun	NN	16958
acupuncture	0	3.83	1.23	0	29	1	37	Noun	NN	37663
ad	0	4.46	1.14	0	28	1	694	Noun	NN	496761
adage	0	1.86	0.94	4	26	0.85	32	Noun	NN	13878
adaptation	0	2.04	0.96	0	28	1	81	Noun	NN	129815
adapter	0	3.82	1.09	0	28	1	11	Noun	NN	45768
adaptor	0	4.04	1.09	0	27	1	4	Noun	NN	17996
addendum	0	3.44	1.45	2	29	0.93	15	Noun	NN	10750
addiction	0	2.85	1.41	0	26	1	199	Noun	NN	101645
adequacy	0	1.86	1.08	2	30	0.93	1	Noun	NN	15210
adherence	0	1.5	0.66	1	25	0.96	9	Noun	NN	35118
adhesion	0	3.32	1.31	0	28	1	6	Noun	NN	13139
adjudication	0	2.35	1.32	3	29	0.9	9	Noun	NN	21770
adjustment	0	2.81	1.33	0	27	1	158	Noun	NN	180678
admin	0	2.96	1.43	1	28	0.96	22	Noun	NN	64211
administration	0	2.78	1.45	0	27	1	387	Noun	NN	567162
administrator	0	3.89	1.25	0	27	1	84	Noun	NN	173550
admiral	0	4.11	1.22	0	27	1	845	Noun	NN	11866
admiration	0	1.86	1.06	0	29	1	107	Noun	NN	47420
admirer	0	2.93	1.25	0	28	1	151	Noun	NN	24284
admission	0	2.83	1.32	0	30	1	181	Noun	NN	237409
adolescence	0	2.81	1.38	19	5885	1	44	Noun	NN	20973
adopter	0	3.33	1.27	1	28	0.96	1	Noun	NN	20420
adoption	0	3.03	1.45	0	29	1	239	Noun	NN	183488
adoration	0	2.19	1.24	1	28	0.96	30	Noun	NN	12029
adrenaline	0	3.04	1.43	0	27	1	168	Noun	NN	19572
adultery	0	2.79	1.5	1	30	0.97	99	Noun	NN	27910
adulthood	0	2.5	1.5	0	28	1	37	Noun	NN	32501
advancement	0	2.1	1.21	0	30	1	63	Noun	NN	63116
advantage	0	2	1.12	0	28	1	1125	Noun	NN	779466
advent	0	2.48	1.19	2	27	0.93	24	Noun	NN	51528
adventure	0	2.59	1.42	0	27	1	685	Noun	NN	274370
adventurer	0	3.73	1.28	1	27	0.96	37	Noun	NN	18920
adversary	0	2.93	1.16	1	30	0.97	77	Noun	NN	38684
adversity	0	1.44	0.75	0	27	1	54	Noun	NN	20999
advertisement	0	3.77	1.45	0	26	1	61	Noun	NN	113433
advertiser	0	3.93	1.23	0	30	1	8	Noun	NN	63310
advertising	0	3.88	0.95	0	26	1	379	Noun	NN	316441
advice	0	2.73	1.2	0	30	1	2447	Noun	NN	1033257
adviser	0	3.67	1.4	0	24	1	53	Noun	NN	151890
advisor	0	4.15	0.95	0	27	1	225	Noun	NN	138179
advocacy	0	2	1.22	0	28	1	15	Noun	NN	90614
aerosol	0	4.23	1.07	0	30	1	14	Noun	NN	25382
aesthetics	0	2.22	1.15	2	29	0.93	15	Noun	NN	39326
affair	0	2.45	1.27	0	29	1	1502	Noun	NN	364692
affection	0	2.22	1.53	0	27	1	431	Noun	NN	85963
affidavit	0	4	1.49	0	30	1	100	Noun	NN	29769
affiliation	0	1.93	1.05	0	30	1	25	Noun	NN	49868
affirmation	0	2.12	0.95	1	27	0.96	27	Noun	NN	26596
affliction	0	2.27	1.17	0	30	1	60	Noun	NN	21315
affordability	0	1.93	1.03	0	29	1	1	Noun	NN	20750
aficionado	0	2.55	1.18	3	25	0.88	11	Noun	NN	12121
afterlife	0	1.9	1.32	0	30	1	81	Noun	NN	20385
aftermarket	0	3.58	1.45	2	28	0.93	2	Noun	NN	11591
aftermath	0	1.97	1.12	0	29	1	53	Noun	NN	61886
afternoon	0	3.7	1.49	0	27	1	4666	Noun	NN	455536
afterthought	0	2.04	1.25	0	26	1	13	Noun	NN	11553
agency	0	3.87	1.23	0	31	1	991	Noun	NN	955328
agenda	0	2.66	1.32	0	29	1	373	Noun	NN	342955
agent	0	3.61	1.34	0	28	1	5235	Noun	NN	731588
aggregation	0	2.16	1.18	4	29	0.86	2	Noun	NN	22273
