Word	Bigram	Conc.M	Conc.SD	Unknown	Total	Percent_known	SUBTLEX	DOM_POS	POS	frequency
conqueror	0	3.54	1.5	0	28	1.0	57	Noun	NN	13179
gambling	0	3.54	1.45	0	26	1.0	846	Noun	NN	51609
space	0	3.54	1.48	0	28	1.0	3369	Noun	NN	1809161
dialysis	0	3.54	1.5	0	26	1.0	77	Noun	NN	13568
venue	0	3.54	1.48	0	28	1.0	73	Noun	NN	301679
blackness	0	3.54	1.56	0	26	1.0	45	Noun	NN	11097
critic	0	3.55	1.55	0	29	1.0	192	Noun	NN	286287
taster	0	3.55	1.45	0	29	1.0	12	Noun	NN	13248
contraction	0	3.53	1.5	0	30	1.0	55	Noun	NN	44053
descendant	0	3.53	1.53	0	30	1.0	55	Noun	NN	70875
decoration	0	3.53	1.43	0	30	1.0	94	Noun	NN	76351
campaigner	0	3.52	1.5	0	25	1.0	8	Noun	NN	57160
deacon	0	3.52	1.64	2	27	0.93	146	Noun	NN	16030
playwright	0	3.56	1.58	1	28	0.96	72	Noun	NN	36680
boarder	0	3.52	1.47	2	25	0.92	29	Noun	NN	10181
opponent	0	3.52	1.55	0	27	1.0	240	Noun	NN	260427
inverter	0	3.56	1.5	0	27	1.0	2	Noun	NN	12836
foreword	0	3.52	1.7	1	28	0.96	9	Noun	NN	10860
word	0	3.56	1.63	0	27	1.0	12013	Noun	NN	3094822
shorthand	0	3.57	1.5	1	29	0.97	51	Noun	NN	17223
archivist	0	3.57	1.43	0	28	1.0	4	Noun	NN	13928
wireless	0	3.57	1.62	0	28	1.0	135	Noun	NN	159190
seller	0	3.57	1.53	1	29	0.97	112	Noun	NN	149624
enzyme	0	3.57	1.41	0	30	1.0	54	Noun	NN	74381
hangover	0	3.57	1.43	0	28	1.0	199	Noun	NN	18482
folk	0	3.57	1.53	0	28	1.0	365	Noun	NN	520114
consumer	0	3.57	1.45	0	30	1.0	106	Noun	NN	774132
envoy	0	3.5	1.43	0	30	1.0	44	Noun	NN	16256
nigger	0	3.5	1.8	1	29	0.97	1034	Noun	NN	10229
multimedia	0	3.5	1.42	0	26	1.0	28	Noun	NN	68147
facility	0	3.58	1.53	0	26	1.0	723	Noun	NN	1011218
setup	0	3.5	1.43	0	28	1.0	440	Noun	NN	148442
ozone	0	3.5	1.5	0	30	1.0	109	Noun	NN	42086
climate	0	3.5	1.48	0	28	1.0	180	Noun	NN	771992
pain	0	3.5	1.58	0	28	1.0	4995	Noun	NN	787467
fatality	0	3.5	1.41	0	30	1.0	46	Noun	NN	32313
isotope	0	3.5	1.6	0	28	1.0	25	Noun	NN	23219
dweller	0	3.5	1.46	0	30	1.0	9	Noun	NN	18379
symposium	0	3.58	1.41	3	27	0.89	35	Noun	NN	48159
puberty	0	3.5	1.46	0	30	1.0	112	Noun	NN	15448
nymph	0	3.58	1.47	0	26	1.0	38	Noun	NN	13716
aftermarket	0	3.58	1.45	2	28	0.93	2	Noun	NN	11591
tenement	0	3.58	1.67	3	27	0.89	35	Noun	NN	15025
scholar	0	3.5	1.48	0	26	1.0	186	Noun	NN	267797
haiku	0	3.58	1.45	2	28	0.93	24	Noun	NN	11185
carbohydrate	0	3.59	1.43	0	29	1.0	4	Noun	NN	46167
eyesight	0	3.59	1.6	0	27	1.0	99	Noun	NN	16372
polio	0	3.59	1.42	0	27	1.0	45	Noun	NN	17420
investment	0	3.59	1.6	0	27	1.0	497	Noun	NN	932838
amp	0	3.59	1.45	1	28	0.96	93	Noun	NN	121674
invention	0	3.48	1.43	0	29	1.0	310	Noun	NN	131000
buddy	0	3.48	1.55	0	29	1.0	5247	Noun	NN	76442
electrode	0	3.48	1.5	0	27	1.0	15	Noun	NN	26802
carnage	0	3.48	1.48	0	27	1.0	57	Noun	NN	17811
transplantation	0	3.48	1.42	2	27	0.93	8	Noun	NN	15624
integer	0	3.48	1.45	2	27	0.93	7	Noun	NN	52492
virus	0	3.48	1.48	0	27	1.0	964	Noun	NN	246503
sanitation	0	3.6	1.43	0	30	1.0	60	Noun	NN	27512
dissection	0	3.48	1.48	2	27	0.93	44	Noun	NN	12592
rowing	0	3.6	1.47	0	25	1.0	65	Noun	NN	19613
nucleus	0	3.48	1.47	1	24	0.96	45	Noun	NN	52954
antibody	0	3.48	1.64	0	29	1.0	13	Noun	NN	54414
biology	0	3.48	1.5	0	29	1.0	250	Noun	NN	140509
squadron	0	3.48	1.42	0	27	1.0	224	Noun	NN	40992
collision	0	3.61	1.47	0	28	1.0	137	Noun	NN	83810
fieldwork	0	3.61	1.42	0	28	1.0	11	Noun	NN	25050
vibration	0	3.61	1.66	0	28	1.0	80	Noun	NN	63417
planner	0	3.61	1.47	0	28	1.0	83	Noun	NN	73806
eyewitness	0	3.61	1.52	0	31	1.0	202	Noun	NN	22987
unicorn	0	3.62	1.66	0	29	1.0	126	Noun	NN	14186
contaminant	0	3.62	1.47	0	29	1.0	3	Noun	NN	26029
brat	0	3.62	1.44	0	26	1.0	317	Noun	NN	10910
cutoff	0	3.62	1.57	0	29	1.0	30	Noun	NN	11723
tract	0	3.46	1.41	1	25	0.96	73	Noun	NN	71516
entry	0	3.62	1.52	0	29	1.0	620	Noun	NN	715798
farming	0	3.46	1.45	0	26	1.0	82	Noun	NN	112776
clan	0	3.46	1.6	1	29	0.97	209	Noun	NN	53334
greeting	0	3.62	1.45	0	29	1.0	164	Noun	NN	44595
multiplication	0	3.46	1.57	0	28	1.0	14	Noun	NN	20662
collaborator	0	3.46	1.44	0	24	1.0	32	Noun	NN	43661
staffer	0	3.46	1.48	0	28	1.0	12	Noun	NN	25115
financier	0	3.46	1.5	2	26	0.92	17	Noun	NN	15613
stipend	0	3.46	1.43	1	29	0.97	22	Noun	NN	16021
scorer	0	3.45	1.5	1	30	0.97	21	Noun	NN	25723
homeland	0	3.45	1.48	0	29	1.0	244	Noun	NN	56945
turnover	0	3.45	1.41	0	31	1.0	30	Noun	NN	80255
forestry	0	3.63	1.52	0	27	1.0	11	Noun	NN	30338
philosopher	0	3.63	1.6	1	28	0.96	155	Noun	NN	132737
spectacle	0	3.45	1.5	0	29	1.0	131	Noun	NN	61555
idol	0	3.63	1.42	0	27	1.0	141	Noun	NN	43010
portal	0	3.63	1.52	0	27	1.0	222	Noun	NN	82284
